,drugs,match_substructures?
148,CC(=O)[O-].CC(=O)[O-].[Ca+2],False
149,Nc1ccc(S(N)(=O)=O)cc1,False
150,N[C@@H]1CON=C1O,False
151,OC1=NC2=Nc3ccc(Cl)c(Cl)c3CN2C1,False
152,O=NN(CCCl)C(O)=NCCCl,False
153,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,False
154,COCCc1ccc(OCC(O)CNC(C)C)cc1,False
155,C/C=C/C(=O)N(CC)c1ccccc1C,False
156,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,False
157,CO/N=C(\C(O)=N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(=N)[nH]1,False
158,CCCN(CCC)CCc1cccc2c1CC(O)=N2,False
159,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,False
160,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,False
161,CC(O)=Nc1c(I)c(N=C(C)O)c(I)c(C(=O)O)c1I,False
162,NCCc1cc[nH]n1,False
163,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,True
164,CO[C@@]1(N=C(O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,False
165,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,False
166,COc1cc(NS(C)(=O)=O)ccc1N=c1c2ccccc2[nH]c2ccccc12,False
167,Cn1c(=O)c2nc[nH]c2n(C)c1=O,False
168,C[C@@H]1CCN(C(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c2cccc3c2NC[C@H](C)C3)[C@@H](C(=O)O)C1,False
169,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,False
